timestamp,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,tamano
1738812697.844571,Desconocido,Desconocido,N/A,N/A,Otro,42
1738812697.844588,Desconocido,Desconocido,N/A,N/A,Otro,42
1738812698.672089,192.168.1.7,190.99.74.45,43833,443,UDP,1288
1738812698.672138,192.168.1.7,190.99.74.45,43833,443,UDP,1292
1738812698.672941,192.168.1.7,190.99.74.45,43833,443,UDP,361
1738812698.677736,190.99.74.45,192.168.1.7,443,43833,UDP,166
1738812698.679905,190.99.74.45,192.168.1.7,443,43833,UDP,1288
1738812698.679906,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.679956,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.679973,192.168.1.7,190.99.74.45,43833,443,UDP,79
1738812698.680273,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.681135,192.168.1.7,8.8.8.8,33928,53,UDP,103
1738812698.681239,192.168.1.7,8.8.8.8,51469,53,UDP,103
1738812698.681499,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.681779,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.682456,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.682456,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.682533,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.682892,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.682892,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.682955,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.683171,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.683171,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.684782,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.687535,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.687535,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.687892,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.687892,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.688252,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.688252,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.688624,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.688625,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.688736,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.688974,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.688974,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.689358,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.689358,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.689709,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.689888,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.690183,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.690502,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.690502,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.690799,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.69128,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.69128,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.691367,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.691379,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.691673,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.691673,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.69201,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.69201,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.692495,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.693564,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.694033,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.694033,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.694327,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.694327,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.694623,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.694623,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.694698,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.694902,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.695652,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.695796,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.696085,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.696085,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.696412,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.69781,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.698792,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.698792,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.698864,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.69923,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.69923,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.699305,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.699667,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.699667,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.699955,192.168.1.7,190.99.74.45,43833,443,UDP,74
1738812698.701274,8.8.8.8,192.168.1.7,53,51469,UDP,268
1738812698.701681,192.168.1.7,8.8.8.8,51935,53,UDP,113
1738812698.701979,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.701997,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.702368,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.702369,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.702665,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.702665,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.702958,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.702958,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.703088,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.703374,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.703727,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.703727,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.704024,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.704496,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.704496,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.704568,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.705386,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.705386,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.705881,8.8.8.8,192.168.1.7,53,33928,UDP,223
1738812698.705881,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.7059,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.705962,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.706659,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.706659,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.706727,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.707088,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.707088,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.707133,192.168.1.7,190.99.74.45,43833,443,UDP,75
1738812698.707606,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.707638,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.709052,192.168.1.7,190.99.74.45,43833,443,UDP,76
1738812698.71054,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.71054,190.99.74.45,192.168.1.7,443,43833,UDP,1292
1738812698.710899,190.99.74.45,192.168.1.7,443,43833,UDP,1292
